Title,Price
ბლოკნოტი თბილისის ხედით ვერცხლისფერი,"
            29.95
            ₾"
ბლოკნოტი თბილისის ხედით ოქროსფერი,"
            29.95
            ₾"
სასაჩუქრე ჩანთა ლურჯი,"
            4.95
            ₾"
თაბახის ფურცლები ა4,"
            13.5
            ₾"
ზურგჩანთა HARRY POTTER,"
            159
            ₾"
მაკრატელი,"
            2.5
            ₾"
ორმაგი სკოჩი,"
            1.95
            ₾"
ორმაგი სკოჩი,"
            3.95
            ₾"
ორმაგი სკოჩი,"
            2.5
            ₾"
ფანქარი,"
            0.3
            ₾"
ფერადი ბრჭყვიალა ფხვნილი,"
            8.95
            ₾"
ბრჭყვიალა წებო,"
            6.95
            ₾"
ბურთულიანი კალამი,"
            0.3
            ₾"
კალამი,"
            1.95
            ₾"
კალამი,"
            0.95
            ₾"
კაპილარული კალამი,"
            1.5
            ₾"
პენალი ნაჭრის მრგვალი გარდამავალ ფერებში,"
            14.95
            ₾"
ფულის რეზინა,"
            4.95
            ₾"
სტეპლერი,"
            3.95
            ₾"
მშრალი წებო,"
            1.5
            ₾"
ფაილი,"
            7.5
            ₾"
სათლელი,"
            5.95
            ₾"
სტეპლერი,"
            7.95
            ₾"
ფუნჯი,"
            1.25
            ₾"
ფაილი,"
            7.5
            ₾"
სტეპლერი,"
            3.95
            ₾"
სათლელი საშლელით,"
            1.5
            ₾"
ფუნჯი,"
            4.95
            ₾"
სათლელი,"
            2.5
            ₾"
დირაკოლი,"
            4.95
            ₾"
სათლელი საშლელით,"
            10.95
            ₾"
მაკრატელი,"
            4.95
            ₾"
სათლელი,"
            0.95
            ₾"
სტეპლერი,"
            7.95
            ₾"
მშრალი წებო,"
            0.95
            ₾"
პენალი ნაჭრის მრგვალი გარდამავალ ფერებში,"
            14.95
            ₾"
სათლელი,"
            5.95
            ₾"
სახაზავი პონტოს გმირებით,"
            4.95
            ₾"
მშრალი წებო,"
            1.5
            ₾"
საბავშვო კალამი,"
            3.95
            ₾"
მაკრატელი საბავშვო,"
            2.95
            ₾"
წყლის ფუნჯი M,"
            17.95
            ₾"
კაპილარული კალამი,"
            1.5
            ₾"
ბრჭყვიალა წებო,"
            1.5
            ₾"
ღილაკიანი კალამი,"
            1.95
            ₾"
სათლელი,"
            0.5
            ₾"
სტეპლერი,"
            10.95
            ₾"
ბურთულიანი კალამი,"
            4.5
            ₾"
სახაზავი  პონტოს გმირებით,"
            4.95
            ₾"
სათლელი ორგანყოფილებიანი,"
            2.5
            ₾"
მაკრატელი,"
            5.95
            ₾"
მაკრატელი,"
            4.95
            ₾"
ფაილი,"
            7.5
            ₾"
მაკრატელი,"
            2.95
            ₾"
დირაკოლი,"
            4.95
            ₾"
ფუნჯი,"
            1.25
            ₾"
სათლელი საშლელით,"
            10.95
            ₾"
წყლის ფუნჯი M,"
            17.95
            ₾"
კალამი თაჩით,"
            5.95
            ₾"
დაფის მარკერი შავი,"
            0.95
            ₾"
პერმანენტ მარკერი მწვანე,"
            0.95
            ₾"
პერმანენტ მარკერი შავი,"
            0.95
            ₾"
დაფის მარკერი მწვანე,"
            0.95
            ₾"
ფლომასტერი,"
            3.95
            ₾"
მშრალი წებო PVA,"
            1.5
            ₾"
პერმანენტ მარკერი მწვანე,"
            0.75
            ₾"
კალამი + მარკერი,"
            1.95
            ₾"
პენალი,"
            3.5
            ₾"
სკოჩი გამჭირვალე,"
            2.95
            ₾"
კალკულატორი,"
            9.95
            ₾"
უბრალო ფანქარი საშლელით,"
            0.95
            ₾"
სახაზავების ნაკრები,"
            1.5
            ₾"
კალკულატორი,"
            9.95
            ₾"
პენალი,"
            3.5
            ₾"
ანტისტეპლერი PONTO OFFICE,"
            1.95
            ₾"
საკანცელარიო დანა,"
            0.95
            ₾"
ფაილი,"
            5.95
            ₾"
დაფის მარკერი წითელი,"
            0.95
            ₾"
დაფის მარკერი ლურჯი,"
            0.95
            ₾"
დაფის მარკერი მწვანე,"
            0.75
            ₾"
სტეპლერის ტყვია,"
            0.95
            ₾"
ქართული ანბანი,"
            2.95
            ₾"
პერმანენტ მარკერი ლურჯი,"
            0.95
            ₾"
მოსანიშნი მარკერი ყვითელი,"
            0.95
            ₾"
დაფის მარკერი წითელი,"
            0.75
            ₾"
მოსანიშნი მარკერი ცისფერი,"
            0.95
            ₾"
სტეპლერის ტყვია,"
            0.75
            ₾"
პერმანენტ მარკერი ლურჯი,"
            0.75
            ₾"
დაფის მარკერი შავი,"
            0.75
            ₾"
მოსანიშნი მარკერი მწვანე,"
            0.95
            ₾"
დაფის მარკერი ლურჯი,"
            0.75
            ₾"
პერმანენტ მარკერი წითელი,"
            0.75
            ₾"
მოსანიშნი მარკერი ნარინჯისფერი,"
            0.95
            ₾"
საკანცელარიო რვეული,"
            3.5
            ₾"
ლექსიკონის რვეული,"
            1.95
            ₾"
ჭიკარტი ფერადი,"
            0.95
            ₾"
